"","SOC_CODE","EMPLOYER_STATE","EMPLOYER_NAME","frequency"
"41",11,"CT","STANLEY BLACK & DECKER, INC.",4
"42",11,"CT","SYNCHRONY BANK",4
"43",11,"DC","RALLY HEALTH, INC.",4
"44",11,"DC","UNITED NATIONS FOUNDATION, INC.",4
"45",11,"DC","WITHYOUWITHME INC",4
"46",11,"DC","WORLD RESOURCES INSTITUTE",4
"47",11,"DC","GEORGETOWN UNIVERSITY",3
"48",11,"DC","WORLD WILDLIFE FUND US",3
"49",11,"DE","ASTRAZENECA PHARMACEUTICALS LP",7
"50",11,"DE","BLACKROCK FINANCIAL MANAGEMENT, INC.",7
"51",11,"DE","PACKFORM USA LLC",6
"52",11,"DE","SIEMENS MOBILITY, INC.",6
"53",11,"DE","MEDLEY NETWORKS INC.",3
"54",11,"FL","PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC",72
"55",11,"FL","BURGER KING CORPORATION",19
"56",11,"FL","CHEWY, INC.",19
"57",11,"FL","SIEMENS ENERGY, INC.",17
"58",11,"FL","PRICEWATERHOUSECOOPERS LLP",16
"59",11,"GA","MANHATTAN ASSOCIATES, INC.",71
"60",11,"GA","COX AUTOMOTIVE CORPORATE SERVICES, LLC",16
"61",11,"GA","NIIT TECHNOLOGIES LIMITED",16
"62",11,"GA","EQUIFAX INC.",14
"63",11,"GA","HOME DEPOT PRODUCT AUTHORITY, LLC",12
"64",11,"HI","AMERICAN SAVINGS BANK, FSB",2
"65",11,"HI","ANSALDO HONOLULU JV",2
"66",11,"HI","CENTER FOR CULTURAL & TECHNICAL INTERCHANGE BETWEEN EAST & WEST INC.",2
"67",11,"HI","KAWAMATA FARMS LLC",2
"68",11,"HI","RESEARCH CORPORATION OF THE UNIVERSITY OF HAWAII",2
"69",11,"HI","THE QUEEN'S MEDICAL CENTER",2
"70",11,"IA","TRANSAMERICA LIFE INSURANCE COMPANY",7
"71",11,"IA","MAHARISHI UNIVERSITY OF MANAGEMENT",3
"72",11,"IA","ROCKWELL COLLINS INC.",3
"73",11,"IA","AUTOMED INC",2
"74",11,"IA","DANFOSS POWER SOLUTIONS (US) COMPANY",2
"75",11,"IA","HNI CORPORATION",2
"76",11,"IA","IDEAL ENERGY, INC.",2
"77",11,"ID","MICRON TECHNOLOGY, INC.",15
"78",11,"ID","MICRON SEMICONDUCTOR PRODUCTS, INC.",3
"79",11,"ID","ACTIVE STUDENT INC.",2
"80",11,"ID","BVA DEVELOPMENT, LLC",2
"81",11,"ID","THE INTERNET TRUCKSTOP LLC",2
"82",11,"IL","ACCENTURE LLP",53
"83",11,"IL","JPMORGAN CHASE & CO.",51
"84",11,"IL","TRANSUNION LLC",25
"85",11,"IL","CCC INFORMATION SERVICES INC.",20
"86",11,"IL","ABBOTT LABORATORIES",19
"87",11,"IL","JPMORGAN CHASE &AMP; CO.",19
"88",11,"IN","ANTHEM, INC.",17
"89",11,"IN","ZIMMER, INC.",11
"90",11,"IN","HILL-ROM COMPANY, INC.",6
"91",11,"IN","PYRAMID TECHNOLOGY SOLUTIONS, INC",6
"92",11,"IN","UNIVERSITY OF NOTRE DAME DU LAC",5
"93",11,"KS","BLACK & VEATCH CORPORATION",12
"94",11,"KS","OVERLAND CONTRACTING, INC.",5
"95",11,"KS","JOHN ZINK COMPANY, LLC",4
"96",11,"KS","GARMIN INTERNATIONAL, INC.",3
"97",11,"KS","GEORGE CLINICAL, INC.",3
"98",11,"KS","SPRINT CORPORATION",3
"99",11,"KY","COLUMBIA SUSSEX MANAGEMENT LLC",8
"100",11,"KY","TTI LEXINGTON, LLC",4
"101",11,"KY","BROWN-FORMAN CORPORATION",3
"102",11,"KY","COLUMBIA SUSSEX MANAGEMENT, LLC",3
"103",11,"KY","APELLIS PHARMACEUTICALS, INC.",2
"104",11,"KY","CARMAN & GARCIA, PLLC",2
"105",11,"KY","EUROFINS GENOMICS LLC",2
"106",11,"KY","GLOBAL IT SOLUTIONS, LLC",2
"107",11,"KY","HUMANA INC.",2
"108",11,"KY","THE DYNAMIC CATHOLIC INSTITUTE",2
"109",11,"KY","UNIVERSITY OF KENTUCKY",2
"110",11,"KY","VOGT POWER INTERNATIONAL, INC.",2
"111",11,"LA","ALMATIS BURNSIDE, LLC",4
"112",11,"LA","INTRALOX, LLC",4
"113",11,"LA","KAEFER LLC",4
"114",11,"LA","AMEDISYS HOLDING LLC",3
"115",11,"LA","BLUE VICTORY HOLDINGS",3
"116",11,"LA","SUPPORT HEALTHCARE SYSTEMS, INC.",3
"117",11,"MA","VIRTUSA CORPORATION",79
"118",11,"MA","WAYFAIR LLC",66
"119",11,"MA","NTT DATA SERVICES, LLC",29
"120",11,"MA","SCHNEIDER ELECTRIC USA, INC.",21
"121",11,"MA","NTT DATA, INC.",17
"122",11,"MA","SIGMA-ALDRICH CORPORATION",17
"123",11,"MD","LUPIN PHARMACEUTICALS, INC.",8
"124",11,"MD","DD&B CONSTRUCTION, INC.",7
"125",11,"MD","MARRIOTT INTERNATIONAL, INC.",7
"126",11,"MD","DANFOSS, LLC",5
"127",11,"MD","EZENIUS INC",5
"128",11,"MD","STARWOOD HOTELS & RESORTS WORLDWIDE, LLC",5
"129",11,"MD","THE JOHNS HOPKINS UNIVERSITY",5
"130",11,"ME","THE JACKSON LABORATORY",3
"131",11,"ME","FERNWOOD COVE INC",2
"132",11,"ME","IDEXX LABORATORIES, INC.",2
"133",11,"ME","RITE PROS INC",2
"134",11,"ME","UNIVERSITY OF MAINE",2
"135",11,"MI","FCA US LLC",30
"136",11,"MI","WHIRLPOOL CORPORATION",24
"137",11,"MI","HENRY FORD HEALTH SYSTEM",18
"138",11,"MI","ALTIMETRIK CORP",13
"139",11,"MI","FORD MOTOR COMPANY",11
"140",11,"MI","LETS MOVE THERAPY LLC",11
"141",11,"MI","UNIVERSITY OF MICHIGAN",11
"142",11,"MN","ECOLAB USA INC.",27
"143",11,"MN","MEDTRONIC, INC.",25
"144",11,"MN","OPTUM SERVICES, INC.",22
"145",11,"MN","MAYO CLINIC",14
"146",11,"MN","ECOLAB INC",12
"147",11,"MN","M. A. MORTENSON COMPANY",12
"148",11,"MO","CHARTER COMMUNICATIONS, INC.",9
"149",11,"MO","WASHINGTON UNIVERSITY IN ST. LOUIS",8
"150",11,"MO","PEABODY INVESTMENTS CORP.",6
"151",11,"MO","MONSANTO COMPANY",5
"152",11,"MO","HNTB CORPORATION",4
"153",11,"MS","JINDAL TUBULAR USA, LLC",4
"154",11,"MS","THE UNIVERSITY OF MISSISSIPPI",2
"155",11,"MS","W. G. YATES & SONS CONSTRUCTION COMPANY",2
"156",11,"MS","LIGHTHEART, SANDERS AND ASSOCIATES, INC.",1
"157",11,"MS","MISSISSIPPI STATE UNIVERSITY",1
"158",11,"MS","MOON RIVER FOODS, INC.",1
"159",11,"MS","NARENDRA A DOLIA, LLC",1
"160",11,"MS","NATCHEZ, INC.",1
"161",11,"MS","NEXT GEAR SOLUTIONS, LLC",1
"162",11,"MS","RETZER RESOURCES INC.",1
"163",11,"MS","SKYHAWKE TECHNOLOGIES LLC",1
"164",11,"MS","STATEWIDE FEDERAL CREDIT UNION",1
"165",11,"MS","TWIN RIVERS RECREATION ASSOCIATION, INC.",1
"166",11,"MS","UNIVERSITY OF MISSISSIPPI MEDICAL CENTER",1
"167",11,"MT","BILLINGS SYMPHONY SOCIETY",1
"168",11,"MT","CMG CONSTRUCTION, LLC",1
"169",11,"MT","FIRSTMARK CONSTRUCTION",1
"170",11,"MT","PIONEER MEDICAL CENTER",1
"171",11,"MT","UNIVERSITY OF MONTANA",1
"172",11,"NC","IBM CORPORATION",24
"173",11,"NC","BANK OF AMERICA N.A.",19
"174",11,"NC","BOFA SECURITIES, INC.",16
"175",11,"NC","PPD DEVELOPMENT, L.P.",16
"176",11,"NC","COMPASS GROUP USA, INC.",11
"177",11,"NC","DAVITA INC.",11
"178",11,"ND","EONE INTEGRATED BUSINESS SOLUTIONS",2
"179",11,"ND","CLARK EQUIPMENT COMPANY",1
"180",11,"ND","PROFESSIONAL ADVANTAGE SOFTWARE SOLUTIONS, INC.",1
"181",11,"ND","SEA FOAM INTERNATIONAL, INC.",1
"182",11,"ND","UND AEROSPACE FOUNDATION",1
"183",11,"ND","UND ALUMNI ASSOCIATION AND FOUNDATION",1
"184",11,"NE","FIRST DATA TECHNOLOGIES, INC.",4
"185",11,"NE","HDR ENGINEERING, INC.",3
"186",11,"NE","PROKARMA, INC.",3
"187",11,"NE","ALIVATION HEALTH LLC",2
"188",11,"NE","CHYY (USA), LLC, F/K/A HRC LEASING COMPANY, LLC",2
"189",11,"NE","FIRST DATA CORPORATION",2
"190",11,"NE","KIEWIT POWER CONSTRUCTORS CO.",2
"191",11,"NE","PHYSICIANS MUTUAL INSURANCE COMPANY",2
"192",11,"NH","C AND S WHOLESALE GROCERS, INC.",5
"193",11,"NH","MICRODESK, INC.",3
"194",11,"NH","N'WARE TECHNOLOGIES INC.",2
"195",11,"NH","ALLEGRO MICROSYSTEMS, LLC",1
"196",11,"NH","BIZANALYTICA, LLC",1
"197",11,"NH","C&S WHOLESALE GROCERS, INC.",1
"198",11,"NH","DATASERV INC",1
"199",11,"NH","FOODSTATE, INC.",1
"200",11,"NH","GREY GLOBAL GROUP, LLC",1
"201",11,"NH","HOTEL PROVIDERS, INC.",1
"202",11,"NH","ID METRICS, INC.",1
"203",11,"NH","LABSPHERE, INC.",1
"204",11,"NH","MARY HITCHCOCK MEMORIAL HOSPITAL",1
"205",11,"NH","SEGWAY INC.",1
"206",11,"NH","SIMBEX LLC",1
"207",11,"NH","SOUTHERN NEW HAMPSHIRE UNIVERSITY",1
"208",11,"NH","THE WHITE MOUNTAIN SCHOOL",1
"209",11,"NJ","ERNST & YOUNG U.S. LLP",78
"210",11,"NJ","GOLDMAN SACHS & CO. LLC",44
"211",11,"NJ","TECH MAHINDRA (AMERICAS),INC.",42
"212",11,"NJ","POLARIS CONSULTING & SERVICES LTD",40
"213",11,"NJ","HONEYWELL INTERNATIONAL INC.",37
"214",11,"NJ","TECH MAHINDRA (AMERICAS), INC.",37
"215",11,"NM","ANGEL FIRE RESORT OPERATIONS LLC",7
"216",11,"NM","SPERIDIAN TECHNOLOGIES, LLC",2
"217",11,"NM","THE GLOBAL CENTER FOR CULTURAL ENTREPRENEURSHIP",2
"218",11,"NM","ANGEL FIRE RESORT",1
"219",11,"NM","B&D ENTERPRISES",1
"220",11,"NM","BIOTECTURE PLANET EARTH",1
"221",11,"NM","GCC RIO GRANDE, INC.",1
"222",11,"NM","INNOTHIUM LLC",1
"223",11,"NM","NATIONAL ONION, INC",1
"224",11,"NM","NORTH AMERICA MAINLAND CHINESE MISSION",1
"225",11,"NM","UNIV OF NEW MEXICO HEALTH SCIS CTR",1
"226",11,"NV","ARISTOCRAT TECHNOLOGIES, INC.",11
"227",11,"NV","BALLY GAMING INC.",10
"228",11,"NV","ARISTOCRAT TECHNOLOGIES INC.",3
"229",11,"NV","INTSOURCING, INC",3
"230",11,"NV","CAESARS ENTERPRISE SERVICES LLC",2
"231",11,"NV","CENTURIA FOODS, INC.",2
"232",11,"NV","EVERI",2
"233",11,"NV","GLOBAL OILFIELD TECHNOLOGIES, INC.",2
"234",11,"NV","MARTIN HARRIS CONSTRUCTION LLC",2
"235",11,"NV","MGM RESORTS INTERNATIONAL",2
"236",11,"NV","MGM RESORTS INTERNATIONAL OPERATIONS, INC.",2
"237",11,"NV","NEVADA COPPER, INC.",2
"238",11,"NV","PHOCAS INC",2
"239",11,"NV","REMARK HOLDINGS INC",2
"240",11,"NV","SPIGOT, INC.",2
"241",11,"NV","UNIVERSITY OF NEVADA, RENO",2
"242",11,"NV","VENETIAN CASINO RESORT, LLC",2
"243",11,"NY","BLOOMBERG, LP",76
"244",11,"NY","WE WORK MANAGEMENT LLC",43
"245",11,"NY","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",42
"246",11,"NY","CITIBANK, N.A.",22
"247",11,"NY","ELC MANAGEMENT LLC",17
"248",11,"NY","IFM INVESTORS (US) LLC",17
"249",11,"NY","MASTERCARD INTERNATIONAL INCORPORATED",17
"250",11,"OH","CARDINAL HEALTH, INC.",7
"251",11,"OH","THE KROGER CO.",6
"252",11,"OH","CARESOURCE MANAGEMENT GROUP CO.",5
"253",11,"OH","EATON CORPORATION",5
"254",11,"OH","BENDIX COMMERCIAL VEHICLE SYSTEMS LLC",4
"255",11,"OH","CLEVELAND CLINIC",4
"256",11,"OH","IM GLOBAL LLC",4
"257",11,"OH","NEUMERIC TECHNOLOGIES CORPORATION",4
"258",11,"OH","ROLTA ADVIZEX TECHNOLOGIES LLC",4
"259",11,"OK","FAIR DINKUM DIRECT, INC.",3
"260",11,"OK","GOPURAM TASTE OF INDIA",3
"261",11,"OK","LBC LIMITED PARTNERSHIP",3
"262",11,"OK","GLOBAL LAW GROUP LLC",2
"263",11,"OK","OBJECTSTREAM, INC.",2
"264",11,"OK","STATE OF OKLAHOMA",2
"265",11,"OR","NIKE, INC.",63
"266",11,"OR","MENTOR GRAPHICS CORPORATION",8
"267",11,"OR","ESCO GROUP LLC",4
"268",11,"OR","ADIDAS AMERICA, INC.",3
"269",11,"OR","NIKE USA, INC.",3
"270",11,"OR","PRODAPT NORTH AMERICA",3
"271",11,"OR","SCIENTIFIC CHILDREN CORPORATION",3
"272",11,"PA","DELOITTE CONSULTING LLP",198
"273",11,"PA","COMCAST CABLE COMMUNICATIONS, LLC",60
"274",11,"PA","DELOITTE & TOUCHE LLP",42
"275",11,"PA","CIGNA HEALTH AND LIFE INSURANCE COMPANY",26
"276",11,"PA","SAP AMERICA, INC.",21
"277",11,"RI","CVS PHARMACY, INC.",11
"278",11,"RI","CAREMARK, LLC",6
"279",11,"RI","CITIZENS FINANCIAL GROUP, INC.",2
"280",11,"RI","ADVANCED PRINT TECHNOLOGIES LLC",1
"281",11,"RI","BLOUNT BOATS, INC.",1
"282",11,"RI","BROWN UNIVERSITY",1
"283",11,"RI","DECOR CRAFT INC.",1
"284",11,"RI","FORENSIC RISK ALLIANCE INC",1
"285",11,"RI","GILBANE BUILDING COMPANY",1
"286",11,"RI","HOTEL ASSET VALUE ENHANCEMENT INC.",1
"287",11,"RI","INTERPLEX GROUP SERVICES, LLC",1
"288",11,"RI","MATERNOVA, INC.",1
"289",11,"RI","SHOREHAM, INC.",1
"290",11,"RI","SWADES INC.",1
"291",11,"RI","U.S. SAILING ASSOCIATION INC.",1
"292",11,"RI","WINDMOELLER & HOELSCHER CORPORATION",1
"293",11,"SC","DIVERSEY, INC.",5
"294",11,"SC","SANCTITYINTERNATIONAL LLC",5
"295",11,"SC","GREYSTAR MANAGEMENT SERVICES, LP",3
"296",11,"SC","HAILE GOLD MINE, INC.",3
"297",11,"SC","SCHAEFFLER GROUP USA INC.",3
"298",11,"SC","WISSEN IT INC.",3
"299",11,"SD","PRINCE MANUFACTURING CORPORATION",1
"300",11,"SD","RAPID CITY AREA SCHOOL DISTRICT 51-4",1
"301",11,"TN","CUMMINS INC.",62
"302",11,"TN","UBS BUSINESS SOLUTIONS US LLC",15
"303",11,"TN","UNIQUE KEY RESOURCES,INC",11
"304",11,"TN","FEDEX CORPORATE SERVICES, INC.",8
"305",11,"TN","ST. JUDE CHILDREN'S RESEARCH HOSPITAL",6
"306",11,"TN","VANDERBILT UNIVERSITY MEDICAL CENTER",6
"307",11,"TX","KPMG LLP",83
"308",11,"TX","HITACHI CONSULTING CORPORATION",33
"309",11,"TX","ERICSSON INC",19
"310",11,"TX","HEWLETT PACKARD ENTERPRISE COMPANY",18
"311",11,"TX","TEXAS INSTRUMENTS INCORPORATED",18
"312",11,"UT","GENESYS TELECOMMUNICATIONS LABORATORIES, INC.",7
"313",11,"UT","SNAPRAYS, LLC",7
"314",11,"UT","OVERSTOCK.COM, INC.",6
"315",11,"UT","UNIVERSITY OF UTAH",6
"316",11,"UT","INNOVECTURE",5
"317",11,"UT","LSK BIOPARTNERS, INC.",5
"318",11,"VA","APPIAN CORPORATION",16
"319",11,"VA","AECOM TECHNICAL SERVICES, INC.",9
"320",11,"VA","CGI TECHNOLOGIES AND SOLUTIONS INC.",9
"321",11,"VA","RARE, INC.",8
"322",11,"VA","FEDERAL HOME LOAN MORTGAGE CO.",7
"323",11,"VT","WORLD LEARNING",3
"324",11,"VT","FLEX-A-SEAL, INC.",1
"325",11,"VT","KUNAL, LLC",1
"326",11,"VT","MARLBORO COLLEGE",1
"327",11,"VT","OPEN RANGE SOLUTIONS, INC.",1
"328",11,"VT","SIMMONDS PRECISION PRODUCTS, INC.",1
"329",11,"VT","THE PRESIDENT AND FELLOWS OF MIDDLEBURY COLLEGE",1
"330",11,"VT","VERMONT LAW SCHOOL",1
"331",11,"WA","AMAZON.COM SERVICES, INC.",1035
"332",11,"WA","AMAZON.COM SERVICES, INC",177
"333",11,"WA","AMAZON WEB SERVICES, INC.",133
"334",11,"WA","EXPEDIA, INC.",78
"335",11,"WA","A2Z DEVELOPMENT CENTER, INC.",37
"336",11,"WI","GE PRECISION HEALTHCARE LLC",18
"337",11,"WI","JOHNSON CONTROLS, INC.",12
"338",11,"WI","EPIC SYSTEMS CORPORATION",10
"339",11,"WI","KOHL'S DEPARTMENT STORES, INC.",8
"340",11,"WI","KOHLER COMPANY",5
"341",11,"WI","REGAL BELOIT CORPORATION",5
"342",11,"WV","DEEMSYS INC",6
"343",11,"WV","CONSTELLIUM ROLLED PRODUCTS RAVENSWOOD, LLC",3
"344",11,"WV","PLANCK HOLDINGS LLC",3
"345",11,"WV","AMERICA'S BEST BLOCK, INC.",2
"346",11,"WV","US METHANOL, LLC",2
"347",11,"WV","WEST VIRGINIA STATE UNIVERSITY",2
"348",11,"WY","CHRISTIANA M GILLESPIE, PC",2
"349",11,"WY","AUSTIN ENGINEERING USA SERVICES INC.",1
"350",11,"WY","CABIN & COMPANY, LLC",1
"351",11,"WY","GRASSHOPPER TRADING INTERNATIONAL LLC",1
"352",13,"AK","MCKINLEY CAPITAL MANAGEMENT, LLC",2
"353",13,"AK","YUKON ACCOUNTING & CONSULTING, INC.",2
"354",13,"AK","YUKON ACCOUNTING AND CONSULTING",2
"355",13,"AK","AC HOLIDAY INC.",1
"356",13,"AK","ARCTIC SLOPE REGIONAL CORPORATION",1
"357",13,"AK","ASHOK.G, LLC",1
"358",13,"AK","CROWLEY FUELS LLC",1
"359",13,"AK","NORTHERN STAR (POGO) LLC",1
"360",13,"AK","OIL SEARCH (ALASKA), LLC",1
"361",13,"AK","SAI INVESTMENTS LLC",1
"362",13,"AL","REGIONS BANK",10
"363",13,"AL","COMPASS BANK",4
"364",13,"AL","MANDO AMERICA CORPORATION",3
"365",13,"AL","CARR, RIGGS & INGRAM, LLC",2
"366",13,"AL","HYUNDAI POWER TRANSFORMERS USA, INC.",2
"367",13,"AL","ISURE LLC",2
"368",13,"AL","MEISTER LOGISTICS CORPORATION AMERICA",2
"369",13,"AL","POSCO AAPC, LLC",2
"370",13,"AL","SCA, INC.",2
"371",13,"AL","TIOS CAPITAL LLC",2
"372",13,"AL","WARREN AVERETT COMPANIES, LLC",2
"373",13,"AR","WAL-MART ASSOCIATES, INC.",33
"374",13,"AR","BANK OZK",8
"375",13,"AR","ANDY AND ANDREW HOTEL INVESTMENT LLC",2
"376",13,"AR","PROTECH SOLUTIONS INC.",2
"377",13,"AR","SIMMONS PREPARED FOODS, INC",2
"378",13,"AR","SOUTH ARKANSAS CARDIOLOGY",2
"379",13,"AZ","WELLS FARGO BANK, N.A.",11
"380",13,"AZ","RIDER LEVETT BUCKNALL LTD.",7
"381",13,"AZ","THE ALEXANDER GROUP, INC.",7
"382",13,"AZ","EQUITY METHODS LLC",6
"383",13,"AZ","MICROCHIP TECHNOLOGY INC.",6
"384",13,"AZ","NGL TRANSPORTATION, LLC",6
"385",13,"CA","GOOGLE LLC",940
"386",13,"CA","UBER TECHNOLOGIES, INC.",252
"387",13,"CA","APPLE INC.",88
"388",13,"CA","TESLA, INC.",72
"389",13,"CA","PAYPAL, INC.",68
"390",13,"CO","HP INC.",29
"391",13,"CO","ROCKY MOUNTAIN INSTITUTE, INC.",11
"392",13,"CO","CHARLES SCHWAB AND COMPANY, INC.",8
"393",13,"CO","DISH NETWORK LLC",8
"394",13,"CO","GT INDUSTRIAL PRODUCTS, LLC",5
"395",13,"CT","BRIDGEWATER ASSOCIATES, LP",51
"396",13,"CT","GARTNER, INC.",24
"397",13,"CT","AQR CAPITAL MANAGEMENT, LLC",22
"398",13,"CT","POINT72 ASSET MANAGEMENT, L.P.",13
"399",13,"CT","CUBIST SYSTEMATIC STRATEGIES, LLC",12
"400",13,"DC","THE CARLYLE GROUP EMPLOYEE CO., LLC",7
"401",13,"DC","BAIN & COMPANY DC, LLC",4
"402",13,"DC","INSTITUTE OF INTERNATIONAL FINANCE, INC.",4
"403",13,"DC","NATIONAL RAILROAD PASSENGER CORPORATION",4
"404",13,"DC","TATE &AMP; TRYON, PC",4
"405",13,"DC","THE BERNSTEIN COMPANIES, INC.",4
"406",13,"DC","THE CARLYLE GROUP EMPLOYEE CO. LLC",4
"407",13,"DE","BLACKROCK FINANCIAL MANAGEMENT, INC.",231
"408",13,"DE","THE SIEGFRIED GROUP, LLP",75
"409",13,"DE","BLACKROCK CAPITAL MANAGEMENT, INC.",33
"410",13,"DE","BLACKROCK INVESTMENT MANAGEMENT, LLC",24
"411",13,"DE","BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A.",23
"412",13,"FL","PRICEWATERHOUSECOOPERS LLP",885
"413",13,"FL","PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC",289
"414",13,"FL","CHEWY, INC.",17
"415",13,"FL","SIEMENS CORPORATION",15
"416",13,"FL","RAYMOND JAMES & ASSOCIATES, INC.",13
"417",13,"GA","NIIT TECHNOLOGIES LIMITED",49
"418",13,"GA","HOME DEPOT PRODUCT AUTHORITY, LLC",20
"419",13,"GA","S2 IT GROUP LLC",16
"420",13,"GA","PROCUREMENT ADVISORS LLC",14
"421",13,"GA","SUNTRUST BANKS, INC.",10
"422",13,"HI","ALAKA'I VENDING CORPORATION",2
"423",13,"HI","HAWAIIAN AIRLINES INC.",2
"424",13,"HI","KKDLY LLC",2
"425",13,"HI","NAN, INC.",2
"426",13,"HI","UNIVERSITY OF HAWAII",2
"427",13,"HI","XINHONG YU CPA LLC",2
"428",13,"IA","TRANSAMERICA LIFE INSURANCE COMPANY",17
"429",13,"IA","FEDERAL HOME LOAN BANK OF DES MOINES",13
"430",13,"IA","AMERICAN TECHNOLOGY CONSULTING, LLC",7
"431",13,"IA","GRAPNEL TECH SERVICES, LLC",6
"432",13,"IA","JOE DESMOND CPA, PLC",6
"433",13,"ID","MICRON TECHNOLOGY, INC.",16
"434",13,"ID","MELALEUCA, INC.",4
"435",13,"ID","MICRON SEMICONDUCTOR PRODUCTS, INC.",3
"436",13,"ID","COMMUNITY DEVELOPMENT, INC",2
"437",13,"ID","BOISE STATE UNIVERSITY",1
"438",13,"ID","CLEARWATER ANALYTICS, LLC",1
"439",13,"ID","CLOVIS & ASSOCIATES, LLC",1
"440",13,"ID","MAGNUSON, MCHUGH & COMPANY, P.A",1
"441",13,"ID","NURTURE INC.",1
"442",13,"ID","STANDLEE HAY COMPANY, INC.",1
"443",13,"ID","STRATTON & ASSOCIATES PLLC",1
"444",13,"IL","JPMORGAN CHASE & CO.",355
"445",13,"IL","ACCENTURE LLP",274
"446",13,"IL","CAPGEMINI AMERICA INC",228
"447",13,"IL","BDO USA, LLP",88
"448",13,"IL","JPMORGAN CHASE &AMP; CO.",79
"449",13,"IN","ZIMMER, INC.",12
"450",13,"IN","AGILE SCIENTIFIC GROUP",6
"451",13,"IN","CAREFIRST REHAB, LLC",6
"452",13,"IN","DIRECTBUY HOME IMPROVEMENT, INC.",4
"453",13,"IN","ONEMAIN GENERAL SERVICES CORPORATION",4
"454",13,"IN","RAJMANE CPA CORP.",4
"455",13,"KS","BLACK & VEATCH MANAGEMENT CONSULTING, LLC",7
"456",13,"KS","SPRINT CORPORATION",7
"457",13,"KS","HEALTHMATE INTERNATIONAL, LLC",5
"458",13,"KS","SECURITY BENEFIT CORPORATION",5
"459",13,"KS","K COE ISOM LLP",4
"460",13,"KS","TORTOISE CAPITAL ADVISORS, LLC",4
"461",13,"KY","BROWN-FORMAN CORPORATION",2
"462",13,"KY","HUMANA  INC.",2
"463",13,"KY","KISWEL, INC.",2
"464",13,"KY","MISAWA HIBACHI AND SUSHI BAR, LLC",2
"465",13,"KY","WILLIAMS WILLIAMS & LENTZ LLP",2
"466",13,"KY","YUM! RESTAURANTS INTERNATIONAL. INC",2
"467",13,"LA","ENTERGY SERVICES, LLC",2
"468",13,"LA","FAUBOURG PRIVATE WEALTH ADVISORS, LLC",2
"469",13,"LA","POSTLETHWAITE & NETTERVILLE, APAC",2
"470",13,"LA","ALLEN, GREEN & WILLIAMSON, LLP",1
"471",13,"LA","APC CONSTRUCTION, LLC",1
"472",13,"LA","BENTELER STEEL/TUBE MANUFACTURING CORP.",1
"473",13,"LA","BRUNO & TERVALON, LLP",1
"474",13,"LA","CRESCENT BANK & TRUST",1
"475",13,"LA","GALATA CHEMICALS, LLC",1
"476",13,"LA","INTRALOX, LLC",1
"477",13,"LA","INVESTAR BANK",1
"478",13,"LA","J. WALKER & COMPANY, APC",1
"479",13,"LA","JASANI'S INTERNATIONAL INC",1
"480",13,"LA","KONANE SOLUTIONS LLC",1
